Method,Iteration,Number of Swaps,Nestedness
CM,Null iteration 388,235560,58.828075434035114
CM,Null iteration 389,235560,58.83335659380947
CM,Null iteration 390,235560,58.78055281965494
CM,Null iteration 391,235560,58.72567807386241
CM,Null iteration 392,235560,58.836806615857256
CM,Null iteration 393,235560,58.80626318503897
CM,Null iteration 394,235560,58.84133923116501
CM,Null iteration 395,235560,58.807354550917715
CM,Null iteration 396,235560,58.80129236436653
CM,Null iteration 397,235560,58.773513844180826
CM,Null iteration 398,235560,58.764204539478854
CM,Null iteration 399,235560,58.839298693972424
CM,Null iteration 400,235560,58.783566599212136
CM,Null iteration 401,235560,58.81662537426256
CM,Null iteration 402,235560,58.812109947874404
CM,Null iteration 403,235560,58.792804245193295
CM,Null iteration 404,235560,58.819912147680455
CM,Null iteration 405,235560,58.81384910156051
CM,Null iteration 406,235560,58.8622436012072
CM,Null iteration 407,235560,58.82475173255436
CM,Null iteration 408,235560,58.78381887727047
CM,Null iteration 409,235560,58.82146275843279
CM,Null iteration 410,235560,58.779895338307405
CM,Null iteration 411,235560,58.828344206348106
CM,Null iteration 412,235560,58.79792565773137
CM,Null iteration 413,235560,58.80197381245222
CM,Null iteration 414,235560,58.76574331930337
CM,Null iteration 415,235560,58.79987322559325
CM,Null iteration 416,235560,58.77418008858291
CM,Null iteration 417,235560,58.79316757261684
CM,Null iteration 418,235560,58.781242596241626
CM,Null iteration 419,235560,58.82947495886981
CM,Null iteration 420,235560,58.79932662092436
CM,Null iteration 421,235560,58.76028380614233
CM,Null iteration 422,235560,58.736919893503725
CM,Null iteration 423,235560,58.85067208654073
CM,Null iteration 424,235560,58.79027709771371
CM,Null iteration 425,235560,58.85188840119515
CM,Null iteration 426,235560,58.779455076500625
CM,Null iteration 427,235560,58.747227455841525
CM,Null iteration 428,235560,58.795241638277844
CM,Null iteration 429,235560,58.82346904308746
CM,Null iteration 430,235560,58.81641610406925
CM,Null iteration 431,235560,58.82459484618562
CM,Null iteration 432,235560,58.8818869910804
CM,Null iteration 433,235560,58.824345993717586
CM,Null iteration 434,235560,58.754875177483136
CM,Null iteration 435,235560,58.80464051970873
CM,Null iteration 436,235560,58.77253002589789
CM,Null iteration 437,235560,58.734490764298826
CM,Null iteration 438,235560,58.74410965822378
CM,Null iteration 439,235560,58.77143765205088
CM,Null iteration 440,235560,58.75877031502682
CM,Null iteration 441,235560,58.82431800181435
CM,Null iteration 442,235560,58.8224806709626
CM,Null iteration 443,235560,58.80412917165775
CM,Null iteration 444,235560,58.74982234971236
CM,Null iteration 445,235560,58.814818726615144
CM,Null iteration 446,235560,58.793304971455754
CM,Null iteration 447,235560,58.78515054529517
CM,Null iteration 448,235560,58.75333912095699
CM,Null iteration 449,235560,58.77670588508596
CM,Null iteration 450,235560,58.75571365648145
CM,Null iteration 451,235560,58.794608524043426
CM,Null iteration 452,235560,58.72918985126941
CM,Null iteration 453,235560,58.768664967438085
CM,Null iteration 454,235560,58.79690415529713
CM,Null iteration 455,235560,58.77179314690822
CM,Null iteration 456,235560,58.739023109057186
CM,Null iteration 457,235560,58.76923153100876
CM,Null iteration 458,235560,58.788119328159254
CM,Null iteration 459,235560,58.771395734923445
CM,Null iteration 460,235560,58.79893691886572
CM,Null iteration 461,235560,58.78862754241743
CM,Null iteration 462,235560,58.782580080811215
CM,Null iteration 463,235560,58.77500893415348
CM,Null iteration 464,235560,58.80479488319688
CM,Null iteration 465,235560,58.82950371251523
CM,Null iteration 466,235560,58.8279699464247
CM,Null iteration 467,235560,58.807934039190805
CM,Null iteration 468,235560,58.81072882590077
CM,Null iteration 469,235560,58.82382000220342
CM,Null iteration 470,235560,58.7624556174207
CM,Null iteration 471,235560,58.81626526805511
CM,Null iteration 472,235560,58.80404602909991
CM,Null iteration 473,235560,58.85319379447897
CM,Null iteration 474,235560,58.85498889022977
CM,Null iteration 475,235560,58.780193335715055
CM,Null iteration 476,235560,58.81142455434883
CM,Null iteration 477,235560,58.789858449699054
CM,Null iteration 478,235560,58.79835695379269
CM,Null iteration 479,235560,58.829769762737016
CM,Null iteration 480,235560,58.83788486420619
CM,Null iteration 481,235560,58.732332240863975
CM,Null iteration 482,235560,58.78559540973808
CM,Null iteration 483,235560,58.78424337562166
CM,Null iteration 484,235560,58.78626323711819
CM,Null iteration 485,235560,58.797203696425896
CM,Null iteration 486,235560,58.82218837166574
CM,Null iteration 487,235560,58.77996831085542
CM,Null iteration 488,235560,58.76305698515061
CM,Null iteration 489,235560,58.80403150252167
CM,Null iteration 490,235560,58.79030732950024
CM,Null iteration 491,235560,58.802466343492284
CM,Null iteration 492,235560,58.80479238676884
CM,Null iteration 493,235560,58.7837519355688
CM,Null iteration 494,235560,58.78473880441216
CM,Null iteration 495,235560,58.82589115858617
CM,Null iteration 496,235560,58.77392213705959
CM,Null iteration 497,235560,58.75226244061427
CM,Null iteration 498,235560,58.81710477798
CM,Null iteration 499,235560,58.77064348894012
CM,Null iteration 500,235560,58.81874494082576
CM,Null iteration 501,235560,58.85556948227701
CM,Null iteration 502,235560,58.823191940709464
CM,Null iteration 503,235560,58.755163014869396
CM,Null iteration 504,235560,58.76107177275707
CM,Null iteration 505,235560,58.77636804927344
CM,Null iteration 506,235560,58.826494967059645
CM,Null iteration 507,235560,58.77266449508055
CM,Null iteration 508,235560,58.7344277377818
CM,Null iteration 509,235560,58.851425847935175
CM,Null iteration 510,235560,58.834258036587485
CM,Null iteration 511,235560,58.773209359416065
CM,Null iteration 512,235560,58.75701757420789
CM,Null iteration 513,235560,58.775110434741194
CM,Null iteration 514,235560,58.78558398535259
CM,Null iteration 515,235560,58.83390887822955
CM,Null iteration 516,235560,58.84870161945224
CM,Null iteration 517,235560,58.7945830715546
CM,Null iteration 518,235560,58.8162162633071
CM,Null iteration 519,235560,58.82946019318013
CM,Null iteration 520,235560,58.83936838831153
CM,Null iteration 521,235560,58.801985244848105
CM,Null iteration 522,235560,58.82759600042134
CM,Null iteration 523,235560,58.74956441163226
CM,Null iteration 524,235560,58.843762517417204
CM,Null iteration 525,235560,58.753850640571216
CM,Null iteration 526,235560,58.83474152868651
CM,Null iteration 527,235560,58.817343385374635
CM,Null iteration 528,235560,58.82846033738177
CM,Null iteration 529,235560,58.818352156891976
CM,Null iteration 530,235560,58.7557919728219
CM,Null iteration 531,235560,58.81200500327501
CM,Null iteration 532,235560,58.8186639909495
CM,Null iteration 533,235560,58.79947460211232
CM,Null iteration 534,235560,58.74999029898578
CM,Null iteration 535,235560,58.81966275321102
