Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality
SM,235560,Contig_201370.fasta,0.012008385776910985,4.843829685129061e-06,0.496390760346487
SM,235560,Contig_551822.fasta,0.014569717670182747,7.3670069912792485e-06,0.49903241412675375
SM,235560,Contig_54001.fasta,0.017183755688669786,1.0484301827467313e-05,0.4997577519379845
SM,235560,Contig_422752.fasta,0.017195641399815404,1.0497717662986997e-05,0.4997577519379845
SM,235560,Contig_55044.fasta,0.011900310083024397,4.735617023990671e-06,0.4949616122840691
SM,235560,Contig_548236.fasta,0.015917484909701105,8.860405659859389e-06,0.49951573849878933
SM,235560,Contig_420309.fasta,0.017219227035054692,1.0358666077963518e-05,0.49951573849878933
SM,235560,Contig_542500.fasta,0.017197913538391136,1.0418915484794727e-05,0.49951573849878933
SM,235560,Contig_137277.fasta,0.015858132240514237,8.870910889220833e-06,0.49951573849878933
SM,235560,Contig_987817.fasta,0.018638919991710683,1.2177773254391187e-05,0.5002424830261881
SM,235560,Contig_24578923.fasta,0.017186681729017987,1.0614622461457224e-05,0.49951573849878933
SM,235560,Contig_985367.fasta,0.015810859260180346,8.874869890198231e-06,0.49903241412675375
SM,235560,Contig_498823.fasta,0.009321168329453964,2.7492104993692733e-06,0.48955861414333174
SM,235560,Contig_1063329.fasta,0.021138438747500283,1.6217701553736217e-05,0.5007281553398059
SM,235560,Contig_61925.fasta,0.014650485350639172,7.278250650619139e-06,0.49879110251450676
SM,235560,Contig_54079.fasta,0.014610685750433052,7.373605937862498e-06,0.49855002416626387
SM,235560,Contig_554682.fasta,0.01200250571187358,4.7909110759775885e-06,0.49710843373493974
SM,235560,Contig_302566.fasta,0.018525572076600706,1.2409331479040757e-05,0.5002424830261881
SM,235560,Contig_310306.fasta,0.018563164342273265,1.2404830999667284e-05,0.5002424830261881
SM,235560,Contig_543210.fasta,0.017347069033399144,1.0403133463097075e-05,0.49951573849878933
SM,235560,Contig_986701.fasta,0.011898179047561689,4.850246728711343e-06,0.4949616122840691
SM,235560,Contig_545700.fasta,0.010506030684634569,3.894961133982089e-06,0.49448705656759345
SM,235560,Contig_420371.fasta,0.014478524160413796,7.368675500904856e-06,0.49806856591018833
SM,235560,Contig_930538.fasta,0.015876946647256366,8.962056511558006e-06,0.49927395934172314
SM,235560,Contig_542578.fasta,0.014533763979666117,7.479385337685067e-06,0.49903241412675375
SM,235560,Contig_371823.fasta,0.014621412254997846,7.39711300546738e-06,0.49806856591018833
SM,235560,Contig_56.fasta,0.01452888681329542,7.453127861571427e-06,0.49879110251450676
SM,235560,Contig_500869.fasta,0.007844223226895418,2.011904189298619e-06,0.4835911861228317
SM,235560,Contig_549526.fasta,0.014525607792510376,7.354341899358894e-06,0.49855002416626387
SM,235560,Contig_138472.fasta,0.019701124609066274,1.4282562909686367e-05,0.5004852013585638
SM,235560,Contig_987069.fasta,0.01448926480843126,7.517239984979393e-06,0.49903241412675375
SM,235560,Contig_988280.fasta,0.010653021834464428,3.7696840637647848e-06,0.4937769267592149
SM,235560,Contig_543585.fasta,0.017151672840620462,1.0590318919958444e-05,0.49951573849878933
SM,235560,Contig_206976.fasta,0.010614235309556845,3.7566700010620806e-06,0.4940134099616858
SM,235560,Contig_3888.fasta,0.017185984190666526,1.0484530065068298e-05,0.4997577519379845
SM,235560,Contig_1065538.fasta,0.013376769752186374,5.984604764647684e-06,0.49782818532818535
SM,235560,Contig_62111.fasta,0.014627942988621113,7.368537538797454e-06,0.49879110251450676
