Method,Iteration,Number of Swaps,Nestedness
CM,Null iteration 397,3330,56.20119219870925
CM,Null iteration 398,3330,57.13632079552096
CM,Null iteration 399,3330,57.73230825867036
CM,Null iteration 400,3330,56.24493943549407
CM,Null iteration 401,3330,57.01692918134663
CM,Null iteration 402,3330,56.26127222356925
CM,Null iteration 403,3330,56.65776299505009
CM,Null iteration 404,3330,56.08909284694634
CM,Null iteration 405,3330,55.513401750209674
CM,Null iteration 406,3330,56.417090967731326
CM,Null iteration 407,3330,57.15696354068806
CM,Null iteration 408,3330,57.610609414067916
CM,Null iteration 409,3330,57.453167469107115
CM,Null iteration 410,3330,56.81536966867248
CM,Null iteration 411,3330,56.623641585478836
CM,Null iteration 412,3330,57.655626279669264
CM,Null iteration 413,3330,57.146833448248906
CM,Null iteration 414,3330,58.389567272262
CM,Null iteration 415,3330,56.847308664441044
CM,Null iteration 416,3330,57.42374299072763
CM,Null iteration 417,3330,55.60078981954561
CM,Null iteration 418,3330,56.20486218807798
CM,Null iteration 419,3330,56.96234163143062
CM,Null iteration 420,3330,55.38047847285496
CM,Null iteration 421,3330,57.6129657209136
CM,Null iteration 422,3330,56.9799420651751
CM,Null iteration 423,3330,58.553490083840124
CM,Null iteration 424,3330,56.36128850290181
CM,Null iteration 425,3330,57.215900411616104
CM,Null iteration 426,3330,58.295427457441335
CM,Null iteration 427,3330,56.35440653530499
CM,Null iteration 428,3330,56.496972595653496
CM,Null iteration 429,3330,57.3703992892446
CM,Null iteration 430,3330,57.39607412286865
CM,Null iteration 431,3330,57.364343559573015
CM,Null iteration 432,3330,57.314270085847085
CM,Null iteration 433,3330,57.1834772522767
CM,Null iteration 434,3330,57.02406766109985
CM,Null iteration 435,3330,56.58774651386429
CM,Null iteration 436,3330,55.79420974903696
CM,Null iteration 437,3330,57.05633700008684
CM,Null iteration 438,3330,57.302900644862575
CM,Null iteration 439,3330,57.20388031721528
CM,Null iteration 440,3330,55.59504384455431
CM,Null iteration 441,3330,54.38910710949247
CM,Null iteration 442,3330,58.33674587863416
CM,Null iteration 443,3330,56.40615214672971
CM,Null iteration 444,3330,56.40687607758471
CM,Null iteration 445,3330,56.67549294450761
CM,Null iteration 446,3330,56.05521426033695
CM,Null iteration 447,3330,56.12265333409808
CM,Null iteration 448,3330,57.0329420279662
CM,Null iteration 449,3330,56.784150364548694
CM,Null iteration 450,3330,58.84369983390804
CM,Null iteration 451,3330,56.65307571520471
CM,Null iteration 452,3330,56.229138379516996
CM,Null iteration 453,3330,57.06466920359778
CM,Null iteration 454,3330,57.11329456395191
CM,Null iteration 455,3330,55.33368420863019
CM,Null iteration 456,3330,56.93219586715392
CM,Null iteration 457,3330,56.66844905222429
CM,Null iteration 458,3330,57.4032886850963
CM,Null iteration 459,3330,57.39049198391259
CM,Null iteration 460,3330,59.0433640768564
CM,Null iteration 461,3330,57.33229584480433
CM,Null iteration 462,3330,56.39105025346017
CM,Null iteration 463,3330,57.22589912060289
CM,Null iteration 464,3330,55.59165393780117
CM,Null iteration 465,3330,57.447233622685445
CM,Null iteration 466,3330,57.23883247108574
CM,Null iteration 467,3330,57.610369251606585
CM,Null iteration 468,3330,57.45703183501094
CM,Null iteration 469,3330,56.282906165037495
CM,Null iteration 470,3330,55.332531891459055
CM,Null iteration 471,3330,56.549026027320025
CM,Null iteration 472,3330,56.48950404649513
CM,Null iteration 473,3330,56.934890499045984
CM,Null iteration 474,3330,56.20701874578238
CM,Null iteration 475,3330,57.15810099561632
CM,Null iteration 476,3330,56.92219486465471
CM,Null iteration 477,3330,57.902984919754786
CM,Null iteration 478,3330,57.10717268985661
CM,Null iteration 479,3330,57.56473247991731
CM,Null iteration 480,3330,55.06222262057646
CM,Null iteration 481,3330,56.38642339920864
CM,Null iteration 482,3330,57.55922941502511
CM,Null iteration 483,3330,57.41768783899296
CM,Null iteration 484,3330,58.65030268925376
CM,Null iteration 485,3330,57.82951063665167
CM,Null iteration 486,3330,55.40250571913093
CM,Null iteration 487,3330,58.27706193098196
CM,Null iteration 488,3330,57.10435313612989
CM,Null iteration 489,3330,56.01515078060419
CM,Null iteration 490,3330,54.99865882820819
CM,Null iteration 491,3330,57.32183254332708
CM,Null iteration 492,3330,57.939088710138705
CM,Null iteration 493,3330,55.993767699487975
CM,Null iteration 494,3330,56.3920807542437
CM,Null iteration 495,3330,57.890485999917914
CM,Null iteration 496,3330,55.39247111457978
CM,Null iteration 497,3330,57.8853340157641
CM,Null iteration 498,3330,57.324165975954756
CM,Null iteration 499,3330,57.19527943068711
CM,Null iteration 500,3330,56.808677054246985
CM,Null iteration 501,3330,57.26632870616888
CM,Null iteration 502,3330,56.44457509241121
CM,Null iteration 503,3330,56.81085994918103
CM,Null iteration 504,3330,56.65010186117725
CM,Null iteration 505,3330,58.23871218021171
CM,Null iteration 506,3330,57.213272821506266
CM,Null iteration 507,3330,57.170125915160014
CM,Null iteration 508,3330,58.45096469366578
CM,Null iteration 509,3330,57.510428363035466
CM,Null iteration 510,3330,57.69708930877705
CM,Null iteration 511,3330,57.212832166585486
CM,Null iteration 512,3330,57.06955510216648
CM,Null iteration 513,3330,56.555477748612354
CM,Null iteration 514,3330,56.790358163220304
CM,Null iteration 515,3330,57.615588433377944
CM,Null iteration 516,3330,57.0890238875738
CM,Null iteration 517,3330,56.24863969036633
CM,Null iteration 518,3330,57.569027618171816
CM,Null iteration 519,3330,57.30294809647257
CM,Null iteration 520,3330,56.89869149401622
CM,Null iteration 521,3330,57.56872115997966
CM,Null iteration 522,3330,57.66078170513199
CM,Null iteration 523,3330,56.960452200960304
CM,Null iteration 524,3330,57.07224476242232
CM,Null iteration 525,3330,56.33125290530272
CM,Null iteration 526,3330,57.47984673797698
CM,Null iteration 527,3330,57.611926548465675
CM,Null iteration 528,3330,57.61606457077711
CM,Null iteration 529,3330,57.6226755088929
CM,Null iteration 530,3330,57.06807246825263
CM,Null iteration 531,3330,55.88625125666132
CM,Null iteration 532,3330,54.187949900463025
CM,Null iteration 533,3330,58.20521327754641
CM,Null iteration 534,3330,56.753510133783664
CM,Null iteration 535,3330,55.46517988050033
CM,Null iteration 536,3330,57.41207733454124
CM,Null iteration 537,3330,57.84600607931009
CM,Null iteration 538,3330,56.4850573735273
CM,Null iteration 539,3330,57.50632311391156
CM,Null iteration 540,3330,56.87090796407939
CM,Null iteration 541,3330,55.8700632605663
CM,Null iteration 542,3330,57.64484383023188
CM,Null iteration 543,3330,57.65518977384346
CM,Null iteration 544,3330,56.961083716575544
CM,Null iteration 545,3330,56.84713507433864
CM,Null iteration 546,3330,57.05963075016554
CM,Null iteration 547,3330,57.95368622738455
CM,Null iteration 548,3330,57.45459771200247
CM,Null iteration 549,3330,56.21243118313518
CM,Null iteration 550,3330,55.72518000485528
CM,Null iteration 551,3330,57.56612695603681
CM,Null iteration 552,3330,53.692473753483654
CM,Null iteration 553,3330,57.97052407059088
CM,Null iteration 554,3330,55.46482622505243
CM,Null iteration 555,3330,56.05073099034183
CM,Null iteration 556,3330,57.636063823691174
CM,Null iteration 557,3330,58.39604018409818
CM,Null iteration 558,3330,55.17437721779584
CM,Null iteration 559,3330,57.450717228565566
CM,Null iteration 560,3330,57.13564632459343
CM,Null iteration 561,3330,57.33558020596821
CM,Null iteration 562,3330,57.90978579256873
CM,Null iteration 563,3330,57.58200426243964
CM,Null iteration 564,3330,57.4892654257836
CM,Null iteration 565,3330,55.45653500663842
CM,Null iteration 566,3330,56.93909514556627
CM,Null iteration 567,3330,56.98330258530328
CM,Null iteration 568,3330,57.763561352338
CM,Null iteration 569,3330,58.25067543388373
CM,Null iteration 570,3330,57.38999514411759
CM,Null iteration 571,3330,57.66625445250757
CM,Null iteration 572,3330,57.38568060151021
CM,Null iteration 573,3330,57.77432851800206
CM,Null iteration 574,3330,56.10236140911434
CM,Null iteration 575,3330,55.92272919936583
CM,Null iteration 576,3330,57.552003979163665
CM,Null iteration 577,3330,57.49476732970267
CM,Null iteration 578,3330,56.080024717544234
CM,Null iteration 579,3330,56.52866474382951
CM,Null iteration 580,3330,56.899954358560024
CM,Null iteration 581,3330,57.49473185885074
CM,Null iteration 582,3330,57.83934355138146
CM,Null iteration 583,3330,56.10693545281586
CM,Null iteration 584,3330,57.07049686505664
CM,Null iteration 585,3330,55.03764192476122
CM,Null iteration 586,3330,56.89137519523061
CM,Null iteration 587,3330,56.19087878633251
CM,Null iteration 588,3330,56.788353511663956
CM,Null iteration 589,3330,55.097560982628416
CM,Null iteration 590,3330,56.133429770699
CM,Null iteration 591,3330,56.05876497816598
CM,Null iteration 592,3330,57.31201580707746
CM,Null iteration 593,3330,57.78639660054327
CM,Null iteration 594,3330,57.52809057985444
CM,Null iteration 595,3330,55.79156376933956
CM,Null iteration 596,3330,57.550363645250656
CM,Null iteration 597,3330,57.78155223690095
CM,Null iteration 598,3330,56.983231457576096
CM,Null iteration 599,3330,55.842002560420966
CM,Null iteration 600,3330,57.170154282042695
CM,Null iteration 601,3330,57.65474074640498
CM,Null iteration 602,3330,58.17149221095046
CM,Null iteration 603,3330,56.489324206662104
CM,Null iteration 604,3330,58.23695393746134
CM,Null iteration 605,3330,57.637564289816154
CM,Null iteration 606,3330,55.19691024469388
CM,Null iteration 607,3330,56.45060828601112
CM,Null iteration 608,3330,57.41357121433948
CM,Null iteration 609,3330,56.566551265341985
CM,Null iteration 610,3330,55.17606655420663
CM,Null iteration 611,3330,57.10587990142315
CM,Null iteration 612,3330,56.8006707764719
CM,Null iteration 613,3330,56.941941731540005
CM,Null iteration 614,3330,57.539681534177575
CM,Null iteration 615,3330,55.59760099877236
CM,Null iteration 616,3330,54.47212913742092
CM,Null iteration 617,3330,54.94271363438074
CM,Null iteration 618,3330,56.77641912840219
CM,Null iteration 619,3330,56.96174240762679
CM,Null iteration 620,3330,56.917930542426674
CM,Null iteration 621,3330,58.376432675476536
CM,Null iteration 622,3330,58.10798638042779
CM,Null iteration 623,3330,55.80337645039778
CM,Null iteration 624,3330,57.432790225265066
CM,Null iteration 625,3330,57.213689698608945
CM,Null iteration 626,3330,55.652075868778695
CM,Null iteration 627,3330,58.72026371742023
CM,Null iteration 628,3330,54.8580571018001
CM,Null iteration 629,3330,56.53413756361548
CM,Null iteration 630,3330,57.70328369414792
